,City Name,Cloud,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
375,La Joya,8,MX,1531977730,82,19.61,-97.03,56.37,2.06
376,Mahon,75,IE,1531974600,81,51.89,-8.4,53.6,9.17
377,Kaihua,0,CN,1531977733,70,29.14,118.41,88.68,3.4
378,Cabo San Lucas,40,MX,1531975200,78,22.89,-109.91,80.6,4.7
379,Mitchell,90,US,1531975980,94,43.71,-98.03,69.8,5.82
380,Serdobsk,36,RU,1531977737,91,52.46,44.21,72.48,9.22
381,Port-Gentil,75,GA,1531976400,83,-0.72,8.78,75.2,4.7
382,Ndola,68,ZM,1531977740,79,-12.97,28.64,51.78,13.58
383,Lingao,88,CN,1531977741,100,19.91,109.69,79.5,6.64
384,Ratnagiri,92,IN,1531977743,100,16.98,73.3,79.77,20.18
385,Maniitsoq,68,GL,1531977744,79,65.42,-52.9,47.73,6.76
386,Abay,0,KZ,1531974600,41,49.63,72.87,78.8,4.47
387,Bermejo,100,AR,1531977748,89,-22.73,-64.34,64.56,3.06
388,Chifeng,24,CN,1531977749,76,42.27,118.96,83.64,11.01
389,Acapulco,75,MX,1531975740,79,16.86,-99.88,86.0,3.36
390,Boguchany,92,RU,1531977497,72,58.38,97.46,65.37,3.51
391,Lashio,0,MM,1531977755,62,22.93,97.75,91.65,2.62
392,Maputo,40,MZ,1531972800,87,-25.97,32.57,53.6,5.82
393,Kolosovka,20,RU,1531977758,51,56.47,73.61,83.73,4.63
394,Quelimane,75,MZ,1531976400,93,-17.88,36.89,64.4,3.36
395,Codrington,0,AU,1531977760,68,-28.95,153.24,64.56,3.96
396,Oxford,1,US,1531976160,88,33.61,-85.83,77.0,4.18
397,Nelson Bay,0,AU,1531976400,30,-32.72,152.14,71.6,5.82
398,Cabra,0,ES,1531974600,72,37.47,-4.43,64.4,2.24
399,Alta Floresta,0,BR,1531977766,55,-9.87,-56.08,76.8,3.62
400,Viedma,92,AR,1531977769,97,-40.81,-62.99,44.94,19.73
401,Ulaangom,68,MN,1531977622,93,49.98,92.07,54.21,3.74
402,Maceio,40,BR,1531976400,94,-9.67,-35.74,69.8,2.24
403,Birecik,0,TR,1531975800,54,37.03,37.98,78.8,10.29
404,Calderitas,40,MX,1531976700,83,18.55,-88.26,82.4,11.41
405,Beloha,0,MG,1531977778,56,-25.17,45.06,66.54,15.03
406,Sao Jose da Coroa Grande,68,BR,1531977779,96,-8.9,-35.15,72.66,10.22
407,Zunyi,0,CN,1531977781,42,27.73,106.92,93.72,10.22
408,Baie-Comeau,1,CA,1531976400,76,49.22,-68.15,57.2,5.82
409,Porbandar,75,IN,1531974600,88,21.64,69.61,80.6,9.17
410,Nuevo Progreso,1,US,1531976100,78,26.05,-97.95,82.4,12.75
411,Marzuq,56,YE,1531977787,27,14.4,46.47,86.34,3.62
412,Plettenberg Bay,0,ZA,1531977788,83,-34.05,23.37,66.99,13.35
413,Adrar,0,DZ,1531976400,11,27.87,-0.29,86.0,16.11
414,Thai Binh,92,VN,1531977791,100,20.45,106.33,78.87,5.97
415,Amazar,12,RU,1531977792,55,53.86,120.88,72.03,4.52
416,Paramonga,88,PE,1531977793,100,-10.68,-77.82,60.33,14.81
417,Onguday,92,RU,1531977795,91,50.75,86.14,51.87,2.28
418,Shingu,20,JP,1531972800,74,33.72,135.99,86.0,5.82
419,Edd,92,ER,1531977798,29,13.93,41.69,92.01,3.4
420,Guanare,92,VE,1531977799,95,9.04,-69.74,72.57,8.99
421,Manjeshwar,75,IN,1531976400,83,12.72,74.89,82.4,8.05
422,Qena,0,EG,1531972800,32,26.16,32.72,82.4,4.18
423,Vigrestad,0,NO,1531975800,87,58.57,5.7,57.2,8.05
424,Salinas,90,US,1531976100,87,36.67,-121.66,59.0,10.29
425,Kuzhener,92,RU,1531977806,97,56.81,48.92,65.82,8.21
426,Delbruck,0,DE,1531975800,76,51.77,8.57,57.2,2.24
427,Hamilton,20,CA,1531976400,72,43.26,-79.87,66.2,6.93
428,Sabha,0,LY,1531977810,31,27.03,14.43,79.23,9.78
429,Cariati,0,IT,1531977813,91,39.5,16.95,75.18,6.98
430,Dhidhdhoo,64,MV,1531977814,100,6.88,73.1,81.57,18.72
431,Saravena,0,CO,1531977836,92,6.96,-71.88,64.29,1.72
432,Altay,0,CN,1531977700,69,47.83,88.13,55.11,3.85
433,Kulhudhuffushi,64,MV,1531977839,100,6.62,73.07,81.57,18.72
434,Ha Giang,92,VN,1531977840,87,22.83,104.99,77.07,2.17
435,Surskoye,0,RU,1531977842,82,54.48,46.71,75.54,3.96
436,Teahupoo,20,PF,1531976400,78,-17.83,-149.27,77.0,2.24
437,Duku,44,NG,1531977844,95,11.24,4.91,71.94,5.64
438,Bloemfontein,0,ZA,1531972800,86,-29.12,26.22,26.6,1.12
439,Lufilufi,0,WS,1531977847,100,-13.87,-171.6,81.75,10.45
440,Flinders,0,AU,1531972800,18,-34.58,150.85,68.0,17.22
441,Talpa,40,MX,1531975260,48,28.83,-111.63,87.8,4.7
442,Musoma,20,TZ,1531972800,59,-1.5,33.81,66.2,6.93
443,Vao,80,EE,1531977853,52,59.1,26.19,76.17,7.65
444,Necochea,92,AR,1531977855,97,-38.55,-58.74,50.25,24.09
445,Kermanshah,0,IR,1531976400,13,34.32,47.07,86.0,4.7
446,Sooke,20,CA,1531976400,55,48.37,-123.73,66.2,12.75
447,Orcopampa,24,PE,1531977861,80,-15.27,-72.34,21.63,3.62
448,Hobyo,12,SO,1531977764,67,5.35,48.53,78.42,20.74
449,Ocampo,92,PH,1531977864,79,13.56,123.37,86.16,20.4
450,Saint Anthony,1,US,1531976160,35,43.97,-111.68,75.2,10.29
451,Santa Rosa,92,AR,1531977868,96,-36.62,-64.29,45.84,13.02
452,Diego de Almagro,92,CL,1531977649,97,-26.39,-70.05,45.39,2.95
453,Praia da Vitoria,40,PT,1531976400,94,38.73,-27.07,68.0,18.95
454,Reconquista,80,AR,1531977872,100,-29.14,-59.64,61.32,10.0
455,Matagami,92,NG,1531977873,99,9.67,8.4,66.72,3.4
456,Saint-Leu,75,RE,1531976400,77,-21.15,55.28,69.8,13.87
457,Carroll,0,AU,1531976400,12,-30.99,150.44,71.6,14.99
458,Westerland,90,NL,1531976100,100,52.89,4.93,62.6,3.36
459,Quimper,0,FR,1531976400,82,48.0,-4.1,59.0,5.82
460,Dunmore East,0,IE,1531977881,95,52.15,-6.99,56.1,8.88
461,Bucerias,40,MX,1531975200,94,20.76,-105.33,82.4,4.97
462,Laizhou,0,CN,1531977884,63,37.18,119.93,93.09,12.01
463,Bundaberg,0,AU,1531977723,95,-24.87,152.35,67.35,4.63
464,Nishihara,1,JP,1531976160,53,35.74,139.53,95.0,12.75
465,Laguna,0,MX,1531977888,72,27.52,-110.01,77.61,2.39
466,Kahramanmaras,0,TR,1531975800,61,37.58,36.93,78.8,20.8
467,Mityana,12,UG,1531977891,69,0.4,32.05,66.45,8.66
468,Bedford,44,GB,1531976160,76,52.14,-0.47,60.8,3.36
469,Bandipur,76,IN,1531977894,68,11.67,76.63,76.89,4.74
470,Hearst,8,CA,1531977895,62,49.69,-83.67,64.74,7.99
471,Raudeberg,40,NO,1531975800,93,61.99,5.14,57.2,5.82
472,Hailey,5,US,1531975620,23,43.52,-114.32,66.2,9.17
473,Businga,92,CD,1531977900,95,3.34,20.89,72.03,2.95
474,Waipawa,36,NZ,1531977735,71,-39.94,176.59,48.54,3.4
475,Eyl,0,SO,1531977674,67,7.98,49.82,81.84,26.89
476,Seymchan,88,RU,1531977905,82,62.93,152.39,44.4,8.88
477,Politika,0,GR,1531975800,44,38.6,23.55,84.2,3.36
478,Urambo,0,TZ,1531977907,49,-5.07,32.07,63.03,5.64
479,Parakai,92,NZ,1531976400,87,-36.66,174.44,57.2,9.17
480,Nioki,0,CD,1531977910,86,-2.72,17.69,70.23,2.17
481,West Odessa,1,US,1531976100,22,31.84,-102.48,89.6,14.99
482,Felipe Carrillo Puerto,24,MX,1531977792,77,19.58,-88.05,79.59,4.18
483,Borogontsy,0,RU,1531977914,46,62.67,131.17,67.44,3.96
484,Margate,75,AU,1531976400,57,-43.03,147.26,51.8,12.75
485,Kamaishi,75,JP,1531972800,59,39.28,141.86,89.6,2.24
486,Hambantota,48,LK,1531977918,94,6.12,81.12,82.02,19.73
487,Ampanihy,0,MG,1531977919,69,-24.69,44.75,62.13,15.26
488,Erzin,0,TR,1531975800,66,36.95,36.2,84.2,9.17
489,La Primavera,90,AR,1531972800,93,-32.92,-68.67,41.0,4.7
490,Mareeba,40,AU,1531976400,64,-16.99,145.42,75.2,6.93
491,Taltal,92,CL,1531977925,90,-25.41,-70.49,46.83,3.96
492,San Cristobal,75,EC,1531976400,87,-0.39,-78.55,51.8,9.17
493,Zawiercie,90,PL,1531976400,93,50.48,19.43,64.4,9.17
494,Kharp,36,RU,1531977929,64,66.82,65.8,58.17,2.17
495,Labuhan,44,ID,1531977931,69,-2.54,115.51,85.89,3.62
496,Fomboni,88,KM,1531977932,100,-12.28,43.74,74.46,19.73
497,Trinidad,92,UY,1531977933,97,-33.52,-56.9,63.39,6.53
498,Mochudi,0,BW,1531977935,78,-24.38,26.15,36.39,2.95
499,Jining,48,CN,1531977937,59,35.41,116.58,95.97,11.45
500,Buraydah,0,SA,1531976400,28,26.33,43.97,93.2,8.05
501,Ambilobe,0,MG,1531977940,53,-13.19,49.05,76.53,14.25
502,Hyeres,0,FR,1531976400,73,43.12,6.14,69.8,3.36
503,Puerto del Rosario,0,ES,1531974600,83,28.5,-13.86,69.8,11.41
504,El Dorado,92,VE,1531977945,99,6.71,-61.64,72.03,1.95
505,Alindao,76,CF,1531977948,96,5.04,21.21,73.02,4.41
506,Chambery,0,FR,1531976400,93,45.57,5.93,66.2,1.12
507,Snezhnogorsk,0,RU,1531976400,41,69.19,33.23,77.0,4.47
508,Umea,0,SE,1531975800,64,63.83,20.26,73.4,6.87
509,Ndjole,92,GA,1531977955,96,-0.18,10.76,71.04,3.62
510,Gazanjyk,24,TM,1531977956,25,39.24,55.52,100.02,4.41
511,Kapuskasing,40,CA,1531976400,72,49.42,-82.43,62.6,9.17
512,Baruun-Urt,92,MN,1531977959,83,46.68,113.28,75.36,4.97
513,Ibra,80,OM,1531977961,38,22.69,58.55,94.53,3.18
514,Myitkyina,8,MM,1531977962,60,25.38,97.4,95.88,2.95
515,Saint-Augustin,0,FR,1531976400,93,44.83,-0.61,64.4,3.36
516,Namatanai,76,PG,1531977797,100,-3.66,152.44,76.44,1.95
517,Sand,0,NO,1531977966,79,60.4,11.54,66.36,2.73
518,Chara,20,GR,1531975800,60,39.42,22.43,73.4,5.82
519,Djambala,12,CG,1531977969,92,-2.55,14.76,66.09,3.18
520,Uarini,100,BR,1531977970,98,-2.98,-65.16,72.48,3.85
521,Yaan,76,NG,1531977972,96,7.38,8.57,70.95,7.54
522,Tutoia,0,BR,1531977973,88,-2.76,-42.27,77.34,9.89
523,Bathsheba,40,BB,1531976400,83,13.22,-59.52,80.6,20.8
524,Miramar,0,CR,1531976400,88,10.09,-84.73,68.0,3.36
525,Tongliao,0,CN,1531977977,73,43.61,122.27,94.08,15.48
526,Fort Nelson,75,CA,1531976400,87,58.81,-122.69,57.2,6.93
527,Avera,1,US,1531976100,94,33.19,-82.53,80.6,2.62
528,Sioux Lookout,75,CA,1531976400,77,50.1,-91.92,68.0,3.36
529,Klyavlino,48,RU,1531977983,83,54.26,52.03,75.81,4.18
530,Iberia,0,PE,1531977984,91,-11.41,-69.49,72.57,2.17
531,Dudinka,0,RU,1531977688,41,69.41,86.18,52.32,18.72
532,Udachnyy,12,RU,1531977987,47,66.42,112.4,70.41,8.43
533,Grand Gaube,75,MU,1531976400,73,-20.01,57.66,69.8,16.11
534,Makushino,92,RU,1531977990,60,55.21,67.25,78.87,6.2
535,Khudumelapye,0,BW,1531977991,71,-23.91,24.95,37.38,6.64
536,Moron,92,VE,1531977993,98,10.49,-68.2,70.14,2.39
537,Tricase,0,IT,1531972500,57,39.93,18.36,77.0,10.29
538,Coos Bay,90,US,1531976160,93,43.37,-124.22,57.2,18.34
539,Gigmoto,92,PH,1531977998,90,13.78,124.39,86.16,20.74
540,Vila Velha,40,BR,1531976400,83,-3.71,-38.6,78.8,9.17
541,Kraskino,20,RU,1531978001,75,42.71,130.78,76.89,5.41
542,Kadiri,88,IN,1531978002,52,14.11,78.16,87.24,20.85
543,Lethem,76,GY,1531978005,97,3.38,-59.8,72.03,2.51
544,Bulgan,24,MN,1531978006,75,48.81,103.53,74.46,4.63
545,Kidal,8,ML,1531978007,59,18.44,1.41,80.4,7.76
546,Ulladulla,0,AU,1531972800,18,-35.36,150.48,68.0,17.22
547,Rawson,92,AR,1531978011,95,-43.3,-65.11,41.25,8.99
548,Red Bluff,1,US,1531976100,46,40.18,-122.24,91.4,5.82
549,Visnes,20,NO,1531975800,93,59.36,5.22,57.2,5.82
550,Berlevag,0,NO,1531975800,37,70.86,29.09,82.4,12.75
551,Nouakchott,12,MR,1531978017,100,18.08,-15.98,75.72,9.33
552,Kosh-Agach,92,RU,1531978018,97,49.99,88.66,45.48,5.75
553,Staicele,0,LV,1531975800,77,57.83,24.75,68.0,4.7
554,Fort Thomas,20,US,1531976100,93,39.08,-84.45,73.4,3.06
555,Quezon,92,PH,1531978022,98,16.49,121.26,71.31,2.62
556,Matsumoto,20,JP,1531972800,41,36.24,137.97,91.4,5.82
